iter	Logloss
0	0.676894209
1	0.6623286561
2	0.6475571105
3	0.6373904318
4	0.6257708032
5	0.6161466897
6	0.6083835034
7	0.5994293485
8	0.5921594808
9	0.5877032646
10	0.5814010005
11	0.5754523389
12	0.5709700206
13	0.5673337599
14	0.5639562114
15	0.5599934716
16	0.5573874718
17	0.5545999492
18	0.5526468696
19	0.5509001265
20	0.5493152461
21	0.5473415487
22	0.5455794694
23	0.5438288433
24	0.5426798317
25	0.5417924582
26	0.5401862137
27	0.5387694447
28	0.5375040481
29	0.5362362957
30	0.5358687875
31	0.5353503397
32	0.5347976286
33	0.5338795701
34	0.5333132515
35	0.5326909785
36	0.5324886021
37	0.5319144277
38	0.5316055793
39	0.5311784294
40	0.5307049306
41	0.5302111432
42	0.5298031726
43	0.5291716187
44	0.5288431088
45	0.5284486766
46	0.5281660785
47	0.5280586803
48	0.5278924601
49	0.5274991991
50	0.5270768432
51	0.526829973
52	0.5267957989
53	0.5264739427
54	0.5264019017
55	0.5263442824
56	0.526088194
57	0.5260180206
58	0.5258937273
59	0.5258419968
60	0.5256062259
61	0.5254316663
62	0.5253573183
63	0.5253061012
64	0.5252819004
65	0.5252641925
66	0.5252418698
67	0.5252358039
68	0.5252029365
69	0.5251926216
70	0.5251598964
71	0.5249908568
72	0.524897737
73	0.5247244622
74	0.5246368889
75	0.5245976397
76	0.5245103605
77	0.5244516042
78	0.5243294381
79	0.5241539329
80	0.5241386567
81	0.5240424816
82	0.5239879855
83	0.523977534
84	0.5238915084
85	0.5238259426
86	0.5236623376
87	0.5236153082
88	0.523507651
89	0.5233434768
90	0.5233416566
91	0.5233382427
92	0.5233067635
93	0.523299495
94	0.5232189116
95	0.5231664285
96	0.5231587454
97	0.5231382435
98	0.5231098297
99	0.523026897
100	0.5230120214
101	0.5229306438
102	0.5228771345
103	0.5228239361
104	0.522821163
105	0.5228194365
106	0.5228037858
107	0.522803029
108	0.5227812961
109	0.522780481
110	0.5227437466
111	0.5226102595
112	0.5225681686
113	0.5225675976
114	0.5225624795
115	0.5225536863
116	0.5225348282
117	0.5225333634
118	0.5225315977
119	0.5224945036
120	0.5223375959
121	0.5222914944
122	0.522221041
123	0.5222189388
124	0.5221752916
125	0.5220980788
126	0.5220953796
127	0.5219855028
128	0.5219724081
129	0.521943199
130	0.5219427629
131	0.5219341097
132	0.521880534
133	0.5218389035
134	0.521801614
135	0.5218003538
136	0.5217928392
137	0.5217731226
138	0.5217402793
139	0.5217243863
140	0.5217173268
141	0.5217186049
142	0.5217004991
143	0.5216966234
144	0.521641721
145	0.5216138898
146	0.5216122683
147	0.5216127738
148	0.5215761442
149	0.5215697042
150	0.5215623123
151	0.5215611667
152	0.5215245471
153	0.5214825104
154	0.5214462567
155	0.5214150738
156	0.5213957132
157	0.5213948035
158	0.5213653832
159	0.5213648171
160	0.5212608975
161	0.5212607766
162	0.5212472381
163	0.5212398315
164	0.5212006429
165	0.5211856916
166	0.5211066312
167	0.5210981662
168	0.5210957349
169	0.5210285234
170	0.5210257306
171	0.5209701416
172	0.5209625152
173	0.5208988841
174	0.5208580652
175	0.5208565799
176	0.5208445913
177	0.5208216502
178	0.5207737081
179	0.5207745171
180	0.5207699191
181	0.5207652162
182	0.5207596512
183	0.5206863813
184	0.5206730614
185	0.5206571928
186	0.5206303524
187	0.5206281515
188	0.5205975211
189	0.5205939913
190	0.5205321692
191	0.5205289645
192	0.5205265973
193	0.5205195776
194	0.5204605996
195	0.5204487404
196	0.5204009103
197	0.5203618282
198	0.5203176024
199	0.5203074294
200	0.5202736841
201	0.5202423014
202	0.5202165775
203	0.5202148565
