iter	Passed	Remaining
0	167	83507
1	171	42619
2	175	29133
3	179	22286
4	184	18232
5	188	15526
6	191	13521
7	196	12100
8	202	11025
9	206	10114
10	211	9397
11	215	8781
12	219	8238
13	224	7787
14	228	7398
15	233	7074
16	237	6761
17	244	6553
18	249	6310
19	253	6082
20	258	5898
21	266	5797
22	271	5621
23	278	5521
24	282	5360
25	286	5225
26	291	5108
27	295	4987
28	300	4879
29	304	4774
30	307	4656
31	311	4549
32	314	4456
33	319	4383
34	323	4300
35	328	4231
36	331	4150
37	336	4087
38	339	4018
39	344	3958
40	348	3899
41	352	3847
42	357	3795
43	361	3750
44	366	3705
45	371	3662
46	375	3618
47	379	3570
48	383	3527
49	387	3491
50	392	3455
51	397	3421
52	400	3375
53	405	3345
54	411	3328
55	415	3292
56	420	3268
57	425	3239
58	430	3214
59	433	3180
60	438	3153
61	442	3125
62	445	3092
63	450	3066
64	453	3034
65	456	3002
66	459	2970
67	466	2965
68	470	2941
69	474	2912
70	478	2889
71	482	2868
72	486	2846
73	490	2825
74	495	2806
75	499	2786
76	504	2770
77	509	2758
78	516	2751
79	521	2735
80	524	2713
81	528	2696
82	532	2675
83	536	2655
84	540	2637
85	544	2621
86	549	2609
87	554	2596
88	559	2582
89	564	2570
90	567	2550
91	570	2530
92	574	2512
93	577	2495
94	583	2487
95	590	2485
96	601	2499
97	610	2506
98	618	2504
99	624	2496
100	629	2485
101	633	2473
102	638	2460
103	642	2448
104	647	2436
105	650	2418
106	654	2404
107	657	2387
108	663	2380
109	666	2364
110	670	2351
111	675	2340
112	681	2335
113	684	2318
114	688	2304
115	693	2295
116	697	2283
117	700	2268
118	704	2256
119	712	2256
120	720	2255
121	743	2303
122	751	2304
123	755	2289
124	762	2286
125	769	2283
126	774	2275
127	781	2269
128	785	2260
129	796	2268
130	804	2265
131	817	2279
132	824	2275
133	831	2270
134	835	2259
135	842	2253
136	848	2247
137	852	2237
138	861	2238
139	866	2229
140	871	2217
141	875	2206
142	881	2201
143	887	2195
144	894	2189
145	900	2184
146	905	2173
147	908	2159
148	914	2153
149	925	2160
150	930	2151
151	939	2150
152	946	2146
153	958	2154
154	966	2150
155	971	2142
156	975	2131
157	978	2118
158	986	2115
159	990	2104
160	994	2094
161	1000	2087
162	1004	2077
163	1008	2067
164	1017	2066
165	1024	2062
166	1037	2069
167	1041	2058
168	1051	2058
169	1056	2051
170	1067	2053
171	1088	2074
172	1101	2082
173	1131	2119
174	1153	2141
175	1172	2158
176	1209	2207
177	1248	2258
178	1305	2340
179	1321	2349
180	1334	2351
181	1354	2366
182	1414	2450
183	1431	2459
184	1438	2449
185	1515	2557
186	1531	2563
187	1567	2601
188	1584	2607
189	1601	2612
190	1651	2672
191	1685	2703
192	1701	2706
193	1718	2710
194	1733	2711
195	1751	2716
196	1782	2742
197	1816	2770
198	1839	2781
199	1866	2799
200	1884	2802
201	1903	2807
202	1914	2800
203	1920	2786
204	1967	2830
205	1996	2849
206	2032	2877
207	2054	2883
208	2074	2888
209	2080	2872
210	2089	2862
211	2092	2842
212	2097	2826
213	2111	2821
214	2129	2822
215	2144	2819
216	2147	2800
217	2153	2785
218	2158	2769
219	2167	2758
220	2172	2742
221	2182	2732
222	2189	2720
223	2200	2711
224	2206	2697
225	2216	2687
226	2222	2673
227	2232	2662
228	2241	2652
229	2254	2646
230	2265	2637
231	2272	2625
232	2288	2621
233	2297	2611
234	2303	2597
235	2313	2587
236	2319	2573
237	2329	2564
238	2335	2550
239	2350	2546
240	2355	2531
241	2368	2524
242	2375	2512
243	2383	2500
244	2396	2494
245	2415	2494
246	2427	2486
247	2431	2471
248	2442	2462
249	2449	2449
250	2458	2439
251	2464	2424
252	2468	2410
253	2478	2400
254	2483	2385
255	2491	2375
256	2497	2361
257	2504	2349
258	2512	2337
259	2516	2323
260	2525	2312
261	2530	2298
262	2541	2289
263	2548	2278
264	2561	2271
265	2573	2264
266	2579	2251
267	2585	2238
268	2591	2225
269	2595	2211
270	2603	2199
271	2607	2186
272	2612	2172
273	2618	2160
274	2624	2147
275	2628	2133
276	2635	2122
277	2640	2108
278	2645	2095
279	2652	2084
280	2657	2071
281	2662	2058
282	2675	2051
283	2683	2040
284	2689	2028
285	2695	2016
286	2706	2008
287	2711	1996
288	2723	1988
289	2728	1975
290	2735	1964
291	2740	1951
292	2746	1940
293	2752	1928
294	2756	1915
295	2764	1905
296	2769	1893
297	2774	1880
298	2781	1870
299	2786	1857
300	2791	1845
301	2799	1835
302	2803	1822
303	2807	1810
304	2815	1800
305	2820	1788
306	2827	1777
307	2833	1766
308	2838	1754
309	2845	1743
310	2849	1731
311	2854	1720
312	2865	1712
313	2872	1701
314	2885	1694
315	2895	1685
316	2902	1675
317	2908	1664
318	2914	1653
319	2919	1641
320	2926	1631
321	2930	1620
322	2935	1608
323	2945	1599
324	2950	1588
325	2959	1579
326	2965	1569
327	2970	1557
328	2977	1547
329	2982	1536
330	2986	1525
331	2992	1514
332	2997	1503
333	3003	1492
334	3010	1482
335	3013	1471
336	3021	1461
337	3026	1450
338	3033	1440
339	3044	1432
340	3049	1421
341	3061	1414
342	3068	1404
343	3073	1393
344	3078	1383
345	3086	1373
346	3091	1363
347	3095	1352
348	3103	1342
349	3108	1332
350	3113	1321
351	3121	1312
352	3125	1301
353	3132	1292
354	3138	1281
355	3142	1270
356	3148	1261
357	3154	1251
358	3158	1240
359	3165	1231
360	3170	1220
361	3176	1210
362	3189	1203
363	3194	1193
364	3207	1186
365	3214	1176
366	3219	1166
367	3224	1156
368	3231	1147
369	3236	1137
370	3240	1126
371	3247	1117
372	3253	1107
373	3260	1098
374	3266	1088
375	3271	1078
376	3278	1069
377	3283	1059
378	3287	1049
379	3295	1040
380	3300	1030
381	3304	1020
382	3311	1011
383	3316	1001
384	3321	992
385	3328	983
386	3335	974
387	3346	965
388	3352	956
389	3362	948
390	3367	938
391	3374	929
392	3379	920
393	3384	910
394	3390	901
395	3395	891
396	3400	882
397	3407	873
398	3411	863
399	3415	853
400	3422	844
401	3427	835
402	3432	826
403	3439	817
404	3444	807
405	3448	798
406	3454	789
407	3459	780
408	3464	770
409	3470	761
410	3476	752
411	3482	743
412	3489	735
413	3494	725
414	3498	716
415	3505	707
416	3509	698
417	3514	689
418	3519	680
419	3524	671
420	3529	662
421	3536	653
422	3540	644
423	3544	635
424	3550	626
425	3554	617
426	3559	608
427	3569	600
428	3577	592
429	3593	584
430	3604	577
431	3609	568
432	3618	559
433	3624	551
434	3633	542
435	3638	534
436	3648	526
437	3653	517
438	3657	508
439	3664	499
440	3668	490
441	3673	482
442	3680	473
443	3685	464
444	3689	456
445	3697	447
446	3702	439
447	3706	430
448	3712	421
449	3717	413
450	3722	404
451	3733	396
452	3737	387
453	3747	379
454	3753	371
455	3761	362
456	3766	354
457	3771	345
458	3778	337
459	3783	329
460	3788	320
461	3796	312
462	3800	303
463	3807	295
464	3812	286
465	3816	278
466	3820	269
467	3828	261
468	3833	253
469	3839	245
470	3844	236
471	3849	228
472	3856	220
473	3862	211
474	3867	203
475	3876	195
476	3881	187
477	3885	178
478	3892	170
479	3897	162
480	3901	154
481	3908	145
482	3912	137
483	3917	129
484	3924	121
485	3928	113
486	3932	104
487	3939	96
488	3943	88
489	3948	80
490	3954	72
491	3959	64
492	3963	56
493	3970	48
494	3974	40
495	3978	32
496	3983	24
497	3988	16
498	3993	8
499	3997	0
