iter	Passed	Remaining
0	6	1386
1	13	1342
2	23	1535
3	36	1774
4	51	2019
5	67	2180
6	78	2163
7	86	2072
8	94	2002
9	105	2006
10	114	1968
11	122	1920
12	129	1869
13	143	1903
14	155	1917
15	169	1947
16	213	2293
17	270	2735
18	331	3157
19	379	3411
20	408	3479
21	422	3420
22	439	3383
23	459	3372
24	508	3556
25	575	3851
26	595	3812
27	631	3882
28	655	3864
29	684	3876
30	707	3856
31	732	3846
32	754	3819
33	761	3718
34	771	3635
35	776	3537
36	784	3456
37	789	3364
38	796	3288
39	804	3216
40	819	3176
41	842	3170
42	873	3190
43	899	3190
44	928	3197
45	950	3180
46	965	3141
47	978	3097
48	985	3037
49	1004	3013
50	1020	2982
51	1032	2938
52	1051	2915
53	1081	2923
54	1087	2865
55	1097	2822
56	1104	2770
57	1115	2731
58	1126	2691
59	1151	2685
60	1163	2650
61	1170	2604
62	1180	2566
63	1186	2521
64	1197	2487
65	1203	2443
66	1213	2408
67	1219	2367
68	1229	2333
69	1234	2292
70	1245	2262
71	1250	2223
72	1261	2195
73	1267	2157
74	1280	2133
75	1286	2099
76	1321	2110
77	1331	2082
78	1342	2055
79	1348	2022
80	1361	2000
81	1399	2013
82	1411	1989
83	1419	1960
84	1428	1932
85	1439	1907
86	1447	1880
87	1458	1855
88	1497	1867
89	1504	1838
90	1519	1819
91	1528	1793
92	1538	1770
93	1552	1750
94	1562	1727
95	1569	1700
96	1598	1697
97	1617	1683
98	1640	1674
99	1652	1652
100	1669	1636
101	1684	1618
102	1696	1597
103	1705	1573
104	1715	1551
105	1729	1533
106	1743	1515
107	1759	1498
108	1777	1483
109	1808	1479
110	1826	1464
111	1843	1448
112	1855	1428
113	1904	1436
114	1935	1430
115	1944	1408
116	1959	1389
117	2018	1402
118	2033	1384
119	2073	1382
120	2083	1360
121	2120	1355
122	2155	1349
123	2174	1332
124	2187	1312
125	2201	1292
126	2211	1271
127	2221	1249
128	2235	1230
129	2257	1215
130	2274	1198
131	2286	1178
132	2293	1155
133	2312	1138
134	2319	1116
135	2372	1116
136	2402	1104
137	2424	1089
138	2442	1071
139	2453	1051
140	2465	1031
141	2484	1014
142	2513	1001
143	2521	980
144	2535	961
145	2558	946
146	2598	937
147	2610	917
148	2623	898
149	2642	880
150	2658	862
151	2669	843
152	2684	824
153	2709	809
154	2733	793
155	2756	777
156	2768	758
157	2782	739
158	2806	723
159	2816	704
160	2830	685
161	2846	667
162	2868	651
163	2884	633
164	2891	613
165	2909	595
166	2925	578
167	2949	561
168	2967	544
169	3011	531
170	3036	514
171	3051	496
172	3086	481
173	3099	463
174	3106	443
175	3118	425
176	3139	407
177	3174	392
178	3197	375
179	3216	357
180	3263	342
181	3280	324
182	3304	306
183	3326	289
184	3365	272
185	3395	255
186	3412	237
187	3426	218
188	3436	200
189	3445	181
190	3474	163
191	3484	145
192	3507	127
193	3522	108
194	3535	90
195	3555	72
196	3568	54
197	3575	36
198	3585	18
199	3597	0
